0,2021-11-10,611316823
1,2021-05-16,685186678
2,2021-07-29,867582364
3,2021-07-22,519748772
4,2021-01-18,646647341
5,2021-02-25,361707681
6,2021-12-25,661292911
7,2021-06-12,896430501
8,2021-01-14,171228379
9,2021-10-14,898427489
10,2021-05-21,766949829
11,2021-12-26,397560317
12,2021-06-18,210229441
13,2021-01-27,971439343
14,2021-07-30,253831246
15,2021-08-11,067767222
16,2021-05-03,013143261
17,2021-08-01,245490009
18,2021-01-08,104258321
19,2021-09-10,782622280
20,2021-10-08,316308064
21,2021-07-17,678130276
22,2021-12-27,907760030
23,2021-09-28,610381248
24,2021-07-17,389659548
25,2021-08-23,859784635
26,2021-07-31,346828714
27,2021-08-16,183613827
28,2021-09-28,718545398
29,2021-11-03,622144797
30,2021-12-02,113082314
31,2021-03-24,407783928
32,2021-03-31,969718589
33,2021-08-01,762726123
34,2021-04-10,004343161
35,2021-09-10,714486917
36,2021-11-16,013249137
37,2021-09-08,389655889
38,2021-11-12,607717031
39,2021-07-05,130075753
40,2021-10-27,473905441
41,2021-10-28,543938425
42,2021-09-01,891324716
43,2021-11-10,107986146
44,2021-06-01,674026853
45,2021-04-06,439810373
46,2021-03-10,962634306
47,2021-10-17,105202564
48,2021-04-03,115235778
49,2021-03-20,417726889
50,2021-02-27,332471693
51,2021-02-05,774914285
52,2021-10-01,739930518
53,2021-03-02,606005988
54,2021-10-07,232397944
55,2021-10-25,357658969
56,2021-01-31,344872389
57,2021-10-22,075496540
58,2021-06-02,890729724
59,2021-04-05,384268000
60,2021-05-25,805519863
61,2021-04-24,927121461
62,2021-11-04,736665866
63,2021-09-24,234515390
64,2021-02-06,980154730
65,2021-02-12,685151361
66,2021-01-30,013998885
67,2021-08-27,237451471
68,2021-05-24,365312386
69,2021-05-05,995257253
70,2021-06-11,389854072
71,2021-11-17,452583242
72,2021-03-13,369639746
73,2021-09-12,491041309
74,2021-11-18,347448134
75,2021-08-25,618339359
76,2021-02-15,691605718
77,2021-06-16,068733785
78,2021-12-16,568010981
79,2021-10-08,916399013
80,2021-11-18,209943423
81,2021-07-17,526547575
82,2021-11-03,724862295
83,2021-01-29,565840924
84,2021-09-28,168356379
85,2021-01-01,820772070
86,2021-06-21,643621316
87,2021-10-18,836312645
88,2021-06-11,088552551
89,2021-10-30,672394385
90,2021-01-06,850205521
91,2021-12-01,250962098
92,2021-01-26,952956549
93,2021-01-20,407115034
94,2021-07-17,161747590
95,2021-11-13,591982525
96,2021-06-28,703991447
97,2021-08-23,628087759
98,2021-12-22,938312784
99,2021-12-04,040116070
100,2021-06-29,428086608
101,2021-09-08,981509319
102,2021-06-20,095147358
103,2021-12-20,600201618
104,2021-09-04,360135156
105,2021-06-13,774914285
106,2021-07-20,737976922
107,2021-12-14,685151361
108,2021-05-15,539843901
109,2021-10-05,720612626
110,2021-06-14,007169778
111,2021-06-22,319703687
112,2021-02-10,062259454
113,2021-05-03,075233247
114,2021-03-29,543021593
115,2021-11-04,241261232
116,2021-10-05,984863857
117,2021-04-14,659482126
118,2021-05-30,312337085
119,2021-08-14,521832014
120,2021-08-12,067568692
121,2021-06-25,277072940
122,2021-09-01,439796659
123,2021-10-16,781016393
124,2021-03-12,694765405
125,2021-11-28,967275248
126,2021-12-11,583237594
127,2021-10-31,166751910
128,2021-03-29,121324893
129,2021-12-03,593500336
130,2021-08-22,960539561
131,2021-10-04,007679845
132,2021-12-04,387930217
133,2021-07-24,114788627
134,2021-10-17,477585366
135,2021-01-06,215188332
136,2021-05-22,178512854
137,2021-05-27,418944566
138,2021-12-04,837855881
139,2021-09-26,811980977
140,2021-11-26,464605169
141,2021-06-20,962634306
142,2021-09-04,836505777
143,2021-05-13,094240458
144,2021-08-02,753848051
145,2021-04-23,718472348
146,2021-10-05,412282218
147,2021-12-20,198728107
148,2021-11-15,420202561
