1,69,2021-12-08,2021-12-11,1
2,85,2021-10-13,2021-11-01,1
3,16,2021-12-15,2021-12-26,1
4,16,2021-10-11,2021-11-12,2
5,15,2021-11-21,2021-12-11,3
6,39,2021-09-14,2021-11-27,4
7,22,2021-12-29,2021-12-29,4
8,10,2021-11-27,2021-12-01,4
9,11,2021-11-10,2021-12-21,5
10,73,2021-07-02,2021-07-10,5
11,89,2021-08-03,2021-09-03,5
12,17,2021-07-22,2021-09-28,6
13,12,2021-07-01,2021-11-03,6
14,46,2021-12-29,2021-12-29,6
15,20,2021-12-13,2021-12-16,7
16,30,2021-12-18,2021-12-20,8
17,25,2021-12-15,2021-12-24,8
18,10,2021-12-18,2021-12-27,8
19,54,2021-12-01,2021-12-06,9
20,57,2021-12-23,2021-12-25,10
21,27,2021-12-19,2021-12-19,10
22,35,2021-07-08,2021-11-04,10
23,42,2021-06-06,2021-08-03,11
24,71,2021-10-19,2021-11-26,12
25,88,2021-11-30,2021-12-12,12
26,43,2021-11-11,2021-12-14,12
27,11,2021-02-03,2021-04-14,13
28,75,2021-10-20,2021-10-25,13
29,77,2021-07-14,2021-08-05,14
30,51,2021-01-28,2021-04-03,14
31,35,2021-01-05,2021-06-17,14
32,70,2021-12-19,2021-12-23,15
33,65,2021-02-20,2021-08-30,16
34,64,2021-09-04,2021-11-05,16
35,22,2021-02-07,2021-05-09,16
36,90,2021-12-20,2021-12-30,17
37,18,2021-11-28,2021-12-09,18
38,63,2021-12-03,2021-12-05,19
39,17,2021-10-20,2021-12-04,19
40,72,2021-10-10,2021-12-30,20
41,18,2021-12-27,2021-12-29,20
42,71,2021-11-01,2021-11-07,20
43,58,2021-11-23,2021-12-01,21
44,85,2021-08-27,2021-09-27,21
45,30,2021-08-08,2021-10-09,22
46,84,2021-10-19,2021-10-24,22
47,24,2021-05-14,2021-11-24,23
48,22,2021-05-19,2021-11-28,24
49,22,2021-09-09,2021-11-27,25
50,80,2021-12-15,2021-12-27,26
51,18,2021-12-17,2021-12-21,26
52,50,2021-12-03,2021-12-23,27
53,79,2021-10-03,2021-11-01,27
54,42,2021-09-15,2021-12-13,27
55,52,2021-12-07,2021-12-23,28
56,89,2021-09-13,2021-09-21,29
57,76,2021-12-30,2021-12-30,29
58,13,2021-10-27,2021-11-27,30
59,66,2021-10-30,2021-11-29,30
60,83,2021-08-01,2021-12-19,30
61,12,2021-10-24,2021-11-06,31
62,72,2021-04-12,2021-04-12,31
63,66,2021-04-23,2021-07-22,31
